"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
H14,F11,VDDIO_DDR,—,—,P,—,VDDIO_DDR,DDR IO power supply:LP3-1V2;LP4-1V1,,,
H15,G10,VSS,—,—,G,—,VSS,GND,,,
H16,—,VSS,—,—,G,—,VSS,GND,,,
H17,—,DDR_NC_CAB3,VDDIO_DDR,DDR,IO,—,DDR_NC_CAB3,CA BUS:LP3-NC;LP4-CAB3,,,
H18,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,CA BUS:LP3-NC;LP4-NC,,,
H19,—,DDR_NC,VDDIO_DDR,DDR,IO,—,DDR_NC,LP3-NC;LP4-NC,,,
H20,G12,VSS,—,—,G,—,VSS,GND,,,
J1,C1,GPIO41,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO41,GPIO41,,,
,,,,,,2,UART1_RXD,UART1 Receive Data,,,
,,,,,,3,IIC1_SDA,IIC1 Serial Data,,,
,,,,,,4,QSPI1_D1,QSPI1 Data1,,,
,,,,,,5,-,-,,,
J2,D2,GPIO40,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO40,GPIO40,,,
,,,,,,2,UART1_TXD,UART1 Transmit Data,,,
,,,,,,3,IIC1_SCL,IIC1 Serial Clock,,,
,,,,,,4,QSPI1_D0,QSPI1 Data0,,,
,,,,,,5,-,-,,,
J3,D1,GPIO39,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO39,GPIO39,,,
,,,,,,2,UART0_RXD,UART0 Receive Data,,,
,,,,,,3,-,-,,,
,,,,,,4,QSPI1_CLK,QSPI1 Clock,,,
,,,,,,5,VSYNC0,Vertical Synchronization0,,,
J4,E3,GPIO38,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO38,GPIO38,,,
,,,,,,2,UART0_TXD,UART0 Transmit Data,,,
,,,,,,3,-,-,,,
,,,,,,4,QSPI1_CS0,QSPI1 Chip Select0,,,
,,,,,,5,HSYNC0,Horizontal Synchronization0,,,
J5,E2,GPIO14,VDDIO_BANK1,LVCMOS18/33,IO,1,GPIO14,GPIO14,,,
,,,,,,2,OSPI_CS,OSPI  Chip Select,,,
,,,,,,3,-,-,,,
,,,,,,4,QSPI0_CS0,QSPI0  Chip Select0,,,
,,,,,,5,DO3,"DO3, for jam-link",,,
J6,—,GPIO43,VDDIO_BANK3,LVCMOS18/33,IO,1,GPIO43,GPIO43,,,
,,,,,,2,UART1_CTS,UART1 Clear To Send,,,
,,,,,,3,PWM1,PWM1,,,
,,,,,,4,QSPI1_D3,QSPI1 Data3,,,
,,,,,,5,-,-,,,
J7,G13,VSS,—,—,G,—,VSS,GND,,,
J8,G5,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
J9,G6,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
J10,G7,VDD0P8_KPU,—,—,P,—,VDD0P8_KPU,KPU power supply,,,
J11,G14,VSS,—,—,G,—,VSS,GND,,,
J12,G9,VDD0P8_CPU,—,—,P,—,VDD0P8_CPU,CPU1 power supply,,,
J13,G15,VSS,—,—,G,—,VSS,GND,,,
J14,G11,VDDIO_DDR,—,—,P,—,VDDIO_DDR,DDR IO power supply:LP3-1V2;LP4-1V1,,,
