Pin Name,K230,数量,K230D,数量,所属模块,,,,,,,,,,,,,
CKE1_CKEA1,P18,1,-,,,,,,,,,,,,,,,
CS0_CSA0,T20,1,-,,,,,,,,,,,,,,,
CS1_CSA1,T19,1,-,,,,,,,,,,,,,,,
DDR_RST,J16,1,-,,,,,,,,,,,,,,,
ODT_NC,L18,1,-,,,,,,,,,,,,,,,
CA0_NC,K20,1,-,,,,,,,,,,,,,,,
CA1_NC,L20,1,-,,,,,,,,,,,,,,,
CA2_NC,M20,1,-,,,,,,,,,,,,,,,
CA3_NC,L17,1,-,,,,,,,,,,,,,,,
CA4_CAA0,M19,1,-,,,,,,,,,,,,,,,
CA5_CAA1,L16,1,-,,,,,,,,,,,,,,,
CA6_CAA2,N19,1,-,,,,,,,,,,,,,,,
CA7_CAA3,N20,1,-,,,,,,,,,,,,,,,
CA8_CAA4,M18,1,-,,,,,,,,,,,,,,,
CA9_CAA5,P19,1,-,,,,,,,,,,,,,,,
DQS0P_DQSB1P,B18,1,-,,,,,,,,,,,,,,,
DQS0N_DQSB1N,A18,1,-,,,,,,,,,,,,,,,
DM0_DMIB1,D18,1,-,,,,,,,,,,,,,,,
DQ0_DQB15,C17,1,-,,,,,,,,,,,,,,,
DQ1_DQB14,D16,1,-,,,,,,,,,,,,,,,
DQ2_DQB13,D17,1,-,,,,,,,,,,,,,,,
DQ3_DQB12,C18,1,-,,,,,,,,,,,,,,,
DQ4_DQB11,E18,1,-,,,,,,,,,,,,,,,
DQ5_DQB10,E17,1,-,,,,,,,,,,,,,,,
DQ6_DQB9,B19,1,-,,,,,,,,,,,,,,,
DQ7_DQB8,C19,1,-,,,,,,,,,,,,,,,
DQS1P_DQSA1P,V20,1,-,,,,,,,,,,,,,,,
DQS1N_DQSA1N,V19,1,-,,,,,,,,,,,,,,,
DM1_DMIA1,P17,1,-,,,,,,,,,,,,,,,
DQ8_DQA8,R17,1,-,,,,,,,,,,,,,,,
DQ9_DQA9,T18,1,-,,,,,,,,,,,,,,,
DQ10_DQA10,R18,1,-,,,,,,,,,,,,,,,
DQ11_DQA11,U20,1,-,,,,,,,,,,,,,,,
DQ12_DQA12,W19,1,-,,,,,,,,,,,,,,,
DQ13_DQA13,U18,1,-,,,,,,,,,,,,,,,
DQ14_DQA14,P16,1,-,,,,,,,,,,,,,,,
DQ15_DQA15,T17,1,-,,,,,,,,,,,,,,,
DQS2P_DQSB0P,B15,1,-,,,,,,,,,,,,,,,
DQS2N_DQSB0N,A15,1,-,,,,,,,,,,,,,,,
